Datum 	    | Kolo | Dobitna kombinacija
05.01.2018. |  01  | 02 07 38 40 45 / 07 10
12.01.2018. |  02  | 16 17 25 40 44 / 02 09
19.01.2018. |  03  | 03 09 17 45 47 / 04 09
26.01.2018. |  04  | 10 23 26 29 35 / 03 05
02.02.2018. |  05  | 15 24 29 33 41 / 07 08
09.02.2018. |  06  | 07 08 24 34 46 / 04 08
16.02.2018. |  07  | 04 08 19 25 44 / 09 10
23.02.2018. |  08  | 18 26 33 42 46 / 04 10
02.03.2018. |  09  | 16 18 20 27 46 / 03 05
09.03.2018. |  10  | 15 23 28 33 36 / 04 07

16.03.2018. |  11  | 04 27 37 48 49 / 03 04
23.03.2018. |  12  | 04 14 22 33 42 / 01 10 | 1 dobitnik
30.03.2018. |  13  | 05 15 17 29 32 / 05 07
06.04.2018. |  14  | 06 08 16 23 50 / 04 08
13.04.2018. |  15  | 03 10 21 25 34 / 07 10
20.04.2018. |  16  | 22 24 25 28 46 / 02 04
27.04.2018. |  17  | 09 21 31 32 33 / 09 10
04.05.2018. |  18  | 24 26 29 36 49 / 03 06
11.05. |  19  | 03 14 17 37 39 / 05 10
18.05. |  20  | 01 11 23 41 44 / 02 08


30.11.2018. |  48  | 18 22 35 36 41 / 03 04
07.12.2018. |  49  | 04 16 21 31 42 / 04 06
14.12.2018. |  50  | 04 14 24 26 30 / 09 10
